lat	lon	ele	eleGPX	wind	grade	dist	cumDist	radius	course	powerTarget	powerRider	powerBrake	velTarget	velMax	velEntry	velExit	segTime	cumTime	calcPath	segment
37.843068	-4.805050	118.50	118.50	0.00	9.58	18.35	0.018	0	0	150	150	0	5.35	80.00	3.00	5.35	12.81	0.004	14	1
37.842914	-4.805123	120.25	120.25	0.00	9.22	21.79	0.040	0	0	150	150	0	5.54	80.00	5.35	5.54	14.22	0.008	14	2
37.842747	-4.805251	122.25	122.25	0.00	11.16	20.29	0.060	0	0	150	148	0	4.66	80.00	5.54	4.66	15.61	0.012	34	3
37.842630	-4.805426	124.50	124.50	0.00	11.06	25.01	0.085	0	0	150	149	0	4.69	80.00	4.66	4.66	19.34	0.017	4	4
37.842522	-4.805673	127.25	127.25	0.00	9.25	24.43	0.110	0	0	150	150	0	5.52	80.00	4.66	5.52	16.14	0.022	14	5
37.842464	-4.805939	129.50	129.50	0.00	5.47	36.64	0.147	0	0	139	142	0	8.06	80.00	5.52	8.06	16.92	0.026	14	6
37.842419	-4.806350	131.50	131.50	0.00	2.05	37.32	0.184	0	0	111	129	0	12.92	80.00	8.06	12.92	11.80	0.030	14	7
37.842428	-4.806773	132.27	133.00	0.00	0.00	35.83	0.220	0	0	90	108	0	20.00	80.00	12.92	16.94	8.51	0.032	1	8
37.842497	-4.807170	132.27	133.00	0.00	-1.70	310.07	0.530	0	0	19	32	0	23.36	80.00	16.94	23.36	50.51	0.046	14	9
37.843651	-4.810372	127.00	127.00	0.00	0.14	175.11	0.705	0	0	93	79	0	19.47	80.00	23.36	19.47	31.23	0.055	34	10
37.844336	-4.812161	127.25	127.25	0.00	0.00	28.39	0.733	0	0	90	104	0	20.00	80.00	19.47	20.00	5.16	0.056	14	11
37.844418	-4.812466	127.25	127.00	0.00	0.00	32.03	0.765	0	0	90	90	0	20.00	80.00	20.00	20.00	5.77	0.058	4	12
37.844467	-4.812824	127.25	127.25	0.00	0.99	25.24	0.791	0	0	101	81	0	16.13	80.00	20.00	18.38	4.74	0.059	3	13
37.844477	-4.813110	127.50	127.50	0.00	1.46	34.21	0.825	0	0	106	85	0	14.56	80.00	18.38	15.82	7.23	0.061	3	14
37.844446	-4.813496	128.00	128.00	0.00	0.00	53.59	0.878	0	0	90	108	0	20.00	80.00	15.82	18.89	10.98	0.064	1	15
37.844321	-4.814083	128.00	128.75	0.00	-2.79	313.51	1.192	0	0	0	13	0	29.63	80.00	18.89	28.54	43.28	0.076	1	16
37.843309	-4.817401	119.25	119.25	0.00	-0.88	113.30	1.305	0	0	59	17	0	22.13	80.00	28.54	22.82	16.42	0.081	3	17
37.843033	-4.818638	118.25	118.25	0.00	-1.11	157.84	1.463	0	0	47	43	0	22.24	80.00	22.82	22.24	25.43	0.088	34	18
37.843128	-4.820424	116.50	116.50	0.00	-3.63	68.93	1.532	0	0	0	17	0	35.05	47.01	22.24	27.73	9.76	0.091	1	19
37.843142	-4.821205	114.00	114.00	0.00	-4.79	93.97	1.626	0	0	0	0	0	41.43	45.97	27.73	34.23	10.82	0.094	10	20
37.843169	-4.822269	109.50	109.50	0.00	-5.03	39.83	1.666	0	0	0	0	0	42.59	45.76	34.23	36.11	4.07	0.095	10	21
37.843223	-4.822715	107.50	107.50	0.00	-6.53	23.02	1.689	0	0	-136	0	0	44.39	44.39	36.11	38.04	2.23	0.095	10	22
37.843284	-4.822964	106.00	106.00	0.00	-6.09	36.98	1.726	0	0	-74	0	0	44.79	44.79	38.04	40.05	3.41	0.096	10	23
37.843427	-4.823342	103.75	103.75	0.00	-4.17	84.03	1.810	0	0	0	0	0	38.14	46.53	40.05	39.35	7.62	0.098	30	24
37.843806	-4.824166	100.25	100.25	0.00	-6.25	72.13	1.882	0	0	-96	0	0	44.64	44.64	39.35	42.60	6.32	0.100	10	25
37.844098	-4.824895	95.75	95.75	0.00	-4.92	25.43	1.907	0	0	0	0	0	42.07	45.86	42.60	42.56	2.15	0.101	30	26
37.844213	-4.825144	94.50	94.50	0.00	-2.58	19.39	1.927	0	0	0	0	0	28.08	80.00	42.56	41.24	1.67	0.101	30	27
37.844274	-4.825350	94.00	94.00	0.00	0.00	18.96	1.946	0	0	90	0	0	20.00	80.00	41.24	38.59	1.71	0.102	30	28
37.844274	-4.825565	94.00	94.00	0.00	-1.49	16.74	1.962	0	0	27	0	0	22.76	80.00	38.59	37.15	1.59	0.102	30	29
37.844260	-4.825754	93.75	93.75	0.00	0.00	21.31	1.984	0	0	90	0	0	20.00	80.00	37.15	34.38	2.15	0.103	30	30
37.844186	-4.825977	93.75	93.75	0.00	0.00	17.19	2.001	0	0	90	0	0	20.00	80.00	34.38	32.24	1.86	0.103	30	31
37.844091	-4.826131	93.75	93.75	0.00	0.00	23.55	2.024	0	0	90	0	0	20.00	80.00	32.24	29.43	2.75	0.104	30	32
37.843935	-4.826312	93.75	93.75	0.00	0.83	30.06	2.054	0	0	100	0	0	16.71	80.00	29.43	24.91	3.99	0.105	30	33
37.843684	-4.826440	94.00	94.00	0.00	0.00	36.81	2.091	0	0	90	28	0	20.00	80.00	24.91	21.96	5.74	0.107	3	34
37.843379	-4.826604	94.00	94.00	0.00	0.66	114.39	2.206	0	0	98	79	0	17.39	80.00	21.96	17.39	22.10	0.113	34	35
37.842430	-4.827110	94.75	94.75	0.00	0.00	37.39	2.243	0	0	90	108	0	20.00	80.00	17.39	19.03	7.36	0.115	1	36
37.842119	-4.827273	94.75	94.75	0.00	0.00	31.73	2.275	0	0	90	108	0	20.00	80.00	19.03	19.89	5.87	0.116	1	37
37.841861	-4.827428	94.75	94.75	0.00	-0.73	34.10	2.309	0	0	68	81	0	22.05	80.00	19.89	20.91	6.02	0.118	1	38
37.841610	-4.827651	94.50	94.50	0.00	0.00	74.05	2.383	0	0	90	81	0	20.00	80.00	20.91	20.00	13.18	0.122	34	39
37.841088	-4.828174	94.50	94.00	0.00	0.00	94.29	2.477	0	0	90	90	0	20.00	80.00	20.00	20.00	16.97	0.127	4	40
37.840431	-4.828852	94.50	94.50	0.00	1.17	106.65	2.584	0	0	103	89	0	15.50	80.00	20.00	15.50	22.87	0.133	34	41
37.839692	-4.829625	95.75	95.75	0.00	0.55	182.86	2.767	0	0	97	103	0	17.82	80.00	15.50	17.82	37.56	0.143	14	42
37.838492	-4.831046	96.75	96.75	0.00	0.00	149.92	2.917	0	0	90	98	0	20.00	80.00	17.82	20.00	27.58	0.151	14	43
37.837475	-4.832165	96.75	96.75	0.00	-0.78	32.23	2.949	0	0	65	78	0	22.08	80.00	20.00	20.92	5.67	0.153	1	44
37.837261	-4.832412	96.50	96.50	0.00	0.10	252.38	3.201	0	0	92	89	0	19.65	80.00	20.92	19.65	45.97	0.165	34	45
37.835584	-4.834345	96.75	96.75	0.00	0.44	114.81	3.316	0	0	96	89	0	18.27	80.00	19.65	18.27	22.32	0.171	34	46
37.834838	-4.835247	97.25	97.25	0.00	0.24	106.27	3.422	0	0	94	99	0	19.09	80.00	18.27	19.09	20.15	0.177	14	47
37.834086	-4.835993	97.50	97.75	0.00	0.00	36.32	3.459	0	0	90	107	0	20.00	80.00	19.09	20.00	6.68	0.179	14	48
37.833849	-4.836277	97.50	97.50	0.00	0.52	47.66	3.506	0	0	97	78	0	17.91	80.00	20.00	18.20	9.02	0.181	3	49
37.833571	-4.836689	97.75	97.75	0.00	2.87	69.66	3.576	0	0	117	98	0	11.16	80.00	18.20	11.16	19.48	0.187	34	50
37.833198	-4.837324	99.75	99.75	0.00	0.00	118.58	3.695	0	0	90	108	0	20.00	80.00	11.16	19.95	25.27	0.194	1	51
37.832554	-4.838397	99.75	99.75	0.00	1.59	15.68	3.710	0	0	107	56	0	14.16	80.00	19.95	17.87	3.02	0.195	3	52
37.832482	-4.838550	100.00	100.00	0.00	0.00	16.80	3.727	0	0	90	108	0	20.00	80.00	17.87	18.60	3.32	0.196	1	53
37.832405	-4.838714	100.00	100.00	0.00	-1.34	55.80	3.783	0	0	34	45	0	22.48	80.00	18.60	20.52	10.23	0.198	1	54
37.832168	-4.839272	99.25	99.25	0.00	-1.11	226.07	4.009	0	0	47	51	0	22.24	80.00	20.52	22.24	37.23	0.209	14	55
37.831327	-4.841607	96.75	96.75	0.00	-1.65	75.75	4.085	0	0	21	33	0	23.20	80.00	22.24	23.20	11.88	0.212	14	56
