lat	lon	ele	eleGPX	wind	grade	dist	cumDist	radius	course	powerTarget	powerRider	powerBrake	velTarget	velMax	velEntry	velExit	segTime	cumTime	calcPath	segment
36.487720	-4.953300	8.00	8.00	0.00	0.00	11.85	0.012	0	0	90	113	0	20.00	80.00	3.00	11.50	5.18	0.001	1	1
36.487790	-4.953200	8.00	8.00	0.00	0.00	26.47	0.038	0	0	90	113	0	20.00	80.00	11.50	15.77	6.86	0.003	1	2
36.487940	-4.952970	8.00	8.00	0.00	0.00	85.08	0.123	0	0	90	111	0	20.00	80.00	15.77	20.00	16.70	0.008	14	3
36.488450	-4.952260	8.00	8.00	0.00	0.00	181.84	0.305	0	0	90	90	0	20.00	80.00	20.00	20.00	32.73	0.017	4	4
36.489450	-4.950650	8.00	8.00	0.00	-5.22	38.36	0.344	0	0	0	28	0	43.52	45.59	20.00	27.15	5.78	0.019	1	5
36.489670	-4.950320	6.00	6.00	0.00	-3.59	42.52	0.386	0	0	0	0	0	34.80	47.04	27.15	28.99	5.45	0.020	10	6
36.489910	-4.949950	4.48	4.00	0.00	-1.31	13.26	0.399	0	0	36	0	0	22.43	80.00	28.99	28.24	1.67	0.021	30	7
36.489990	-4.949840	4.30	4.00	0.00	-1.31	23.03	0.422	0	0	36	0	0	22.43	80.00	28.24	27.00	3.00	0.021	30	8
36.490130	-4.949650	4.00	4.00	0.00	0.00	2.11	0.425	0	0	90	0	0	20.00	80.00	27.00	26.77	0.28	0.022	30	9
36.490140	-4.949630	4.00	4.00	0.00	0.00	2.11	0.427	0	0	90	0	0	20.00	80.00	26.77	26.54	0.28	0.022	30	10
36.490150	-4.949610	4.00	4.00	0.00	0.00	2.11	0.429	0	0	90	0	0	20.00	80.00	26.54	26.31	0.29	0.022	30	11
36.490160	-4.949590	4.00	4.00	0.00	0.00	2.39	0.431	0	0	90	0	0	20.00	80.00	26.31	26.04	0.33	0.022	30	12
36.490180	-4.949580	4.00	4.00	0.00	0.00	2.39	0.434	0	0	90	0	0	20.00	80.00	26.04	25.78	0.33	0.022	30	13
36.490200	-4.949570	4.00	4.00	0.00	2.11	2.39	0.436	0	0	111	0	0	12.77	80.00	25.78	25.27	0.34	0.022	30	14
36.490220	-4.949560	4.05	4.00	0.00	4.20	2.22	0.438	0	0	128	0	0	9.24	80.00	25.27	24.56	0.32	0.022	30	15
36.490240	-4.949560	4.14	4.00	0.00	4.20	2.22	0.440	0	0	128	0	0	9.24	80.00	24.56	23.83	0.33	0.022	30	16
36.490260	-4.949560	4.24	4.00	0.00	6.29	2.40	0.443	0	0	145	0	0	7.51	80.00	23.83	22.77	0.37	0.022	30	17
36.490280	-4.949570	4.39	4.00	0.00	8.06	2.40	0.445	0	0	150	0	0	6.24	80.00	22.77	21.43	0.39	0.022	30	18
36.490300	-4.949580	4.58	4.00	0.00	7.36	2.86	0.448	0	0	150	0	0	6.76	80.00	21.43	19.87	0.50	0.023	30	19
36.490320	-4.949600	4.79	5.00	0.00	4.23	2.85	0.451	0	0	128	0	0	9.20	80.00	19.87	18.79	0.53	0.023	30	20
36.490340	-4.949620	4.91	5.00	0.00	1.78	2.11	0.453	0	0	108	87	0	13.63	80.00	18.79	18.58	0.41	0.023	3	21
