seg	lat	lon	eleGPX	ele	eleShift	wind	grade	dist	radius	course	pTarget	pRider	pBrake	vTarget	vMax	vEntry	vExit	segTime	cumTime	cumDist	calcPath	calcSteps
1	37.942557	-5.760211	615.25	615.47	0.22	0.00	2.58	22.17	0	0	121	131	0	12.03	80.00	10.80	12.03	6.92	0.000	0.000	14	2
2	37.942755	-5.760244	616.00	616.04	0.04	0.00	2.67	94.11	0	0	122	121	0	11.83	80.00	12.03	11.83	28.64	0.002	0.022	24	2
3	37.943583	-5.760473	617.50	618.56	1.06	0.00	2.83	90.37	0	0	123	122	0	11.53	80.00	11.83	11.53	28.20	0.010	0.116	24	2
4	37.944369	-5.760740	620.25	621.11	0.86	0.00	3.09	31.89	0	0	124	121	0	11.04	80.00	11.53	11.04	10.34	0.018	0.207	24	2
5	37.944648	-5.760826	621.75	622.10	0.35	0.00	10.80	14.37	0	0	150	143	0	4.79	80.00	11.04	4.79	8.63	0.021	0.239	24	5
6	37.944773	-5.760865	622.50	623.64	1.14	0.00	5.89	62.98	0	0	142	144	0	7.76	80.00	4.79	7.76	29.92	0.023	0.253	14	3
7	37.945326	-5.761020	627.00	627.34	0.34	0.00	6.41	16.50	0	0	146	144	0	7.39	80.00	7.76	7.39	8.01	0.031	0.316	24	2
8	37.945474	-5.761033	628.00	628.40	0.40	0.00	4.66	15.22	0	0	135	142	0	8.86	80.00	7.39	8.86	6.48	0.034	0.332	14	2
9	37.945609	-5.761062	629.25	629.10	-0.15	0.00	4.51	4.32	0	0	134	131	0	9.02	80.00	8.86	8.86	1.75	0.035	0.348	4	1
10	37.945642	-5.761036	629.50	629.30	-0.20	0.00	4.49	4.27	0	0	134	131	0	9.05	80.00	8.86	8.86	1.73	0.036	0.352	4	1
11	37.945678	-5.761019	629.75	629.49	-0.26	0.00	4.19	5.38	0	0	132	123	0	9.40	80.00	8.86	8.86	2.18	0.036	0.356	4	1
12	37.945726	-5.761011	630.00	629.71	-0.29	0.00	3.82	5.27	0	0	129	142	0	9.89	80.00	8.86	9.43	2.02	0.037	0.362	1	1
13	37.945773	-5.761019	630.50	629.92	-0.58	0.00	3.23	4.74	0	0	125	138	0	10.79	80.00	9.43	9.90	1.69	0.037	0.367	1	1
14	37.945813	-5.761038	630.75	630.07	-0.68	0.00	2.56	4.69	0	0	121	133	0	12.06	80.00	9.90	10.52	1.62	0.038	0.372	1	1
15	37.945848	-5.761068	630.75	630.19	-0.56	0.00	1.79	4.70	0	0	116	127	0	13.90	80.00	10.52	11.17	1.49	0.038	0.376	1	1
16	37.945877	-5.761107	630.75	630.27	-0.48	0.00	0.54	21.07	0	0	106	117	0	17.94	80.00	11.17	14.40	5.85	0.039	0.381	1	2
17	37.946052	-5.761200	630.50	630.39	-0.11	0.00	0.00	20.64	0	0	100	110	0	19.88	80.00	14.40	16.36	4.76	0.040	0.402	1	2
18	37.946226	-5.761283	630.50	630.39	-0.11	0.00	-0.50	233.73	0	0	90	96	0	21.51	80.00	16.36	21.51	41.51	0.042	0.423	14	4
19	37.948256	-5.761991	628.50	629.22	0.72	0.00	1.34	218.55	0	0	112	102	0	15.22	80.00	21.51	15.22	49.42	0.053	0.656	24	5
