seg	lat	lon	eleGPX	ele	eleShift	wind	grade	dist	radius	course	pTarget	pRider	pBrake	vMax	vTarget	vEntry	vExit	segTime	cumTime	cumDist	calcPath	calcSteps
1	37.942557	-5.760211	615.25	615.25	0.00	-9.91	3.38	22.18	0	352	114	142	0	80.00	14.59	10.80	14.00	6.26	0.000	0.000	1	3
2	37.942755	-5.760244	616.00	616.00	0.00	-9.77	1.59	94.09	0	348	95	119	0	80.00	20.46	14.00	20.38	18.88	0.002	0.022	1	4
3	37.943583	-5.760473	617.50	617.50	0.00	-9.66	3.04	90.38	0	345	110	85	0	80.00	15.08	20.38	15.08	20.30	0.007	0.116	24	3
4	37.944369	-5.760740	620.25	620.25	0.00	-9.72	4.71	31.91	0	346	128	109	0	80.00	11.89	15.08	11.89	8.66	0.013	0.207	24	2
5	37.944648	-5.760826	621.75	621.75	0.00	-9.71	5.25	14.31	0	346	134	146	0	80.00	11.17	11.89	11.89	4.33	0.015	0.239	4	0
6	37.944773	-5.760865	622.50	622.50	0.00	-9.76	7.16	63.03	0	348	156	151	0	80.00	9.46	11.89	9.46	23.47	0.016	0.253	24	2
7	37.945326	-5.761020	627.00	627.00	0.00	-9.98	6.07	16.50	0	356	143	152	0	80.00	10.51	9.46	10.51	5.81	0.023	0.316	14	1
8	37.945474	-5.761033	628.00	628.00	0.00	-9.86	8.22	15.25	40	350	160	146	0	80.00	8.48	10.51	8.48	6.10	0.024	0.332	24	2
9	37.945609	-5.761062	629.25	629.25	0.00	-8.49	5.79	4.32	16	32	140	160	0	80.00	9.67	8.48	9.22	1.71	0.026	0.348	1	1
10	37.945642	-5.761036	629.50	629.50	0.00	-9.37	5.86	4.27	20	20	141	160	0	80.00	10.23	9.22	9.79	1.58	0.027	0.352	1	1
11	37.945678	-5.761019	629.75	629.75	0.00	-9.91	7.05	5.39	21	8	155	158	0	80.00	9.64	9.79	9.79	1.98	0.027	0.356	4	0
12	37.945726	-5.761011	630.00	630.13	0.13	-9.91	4.96	5.27	21	352	131	160	0	80.00	11.73	9.79	10.87	1.82	0.028	0.362	1	2
13	37.945773	-5.761019	630.50	630.39	-0.11	-9.36	4.96	4.75	20	339	131	126	0	80.00	11.21	10.87	10.87	1.57	0.028	0.367	4	0
14	37.945813	-5.761038	630.75	630.63	-0.12	-8.28	2.65	4.69	21	326	106	133	0	80.00	14.38	10.87	11.71	1.44	0.028	0.372	1	1
15	37.945848	-5.761068	630.75	630.75	0.00	-6.85	0.00	4.70	0	313	48	60	0	46.73	25.00	11.71	12.39	1.35	0.029	0.376	1	1
16	37.945877	-5.761107	630.75	630.75	0.00	-9.22	-1.19	21.07	74	337	-42	60	0	37.57	37.57	12.39	17.37	5.03	0.029	0.381	1	3
17	37.946052	-5.761200	630.50	630.50	0.00	-9.36	0.00	20.64	0	339	34	60	0	80.00	25.00	17.37	19.00	4.07	0.031	0.402	1	2
18	37.946226	-5.761283	630.50	630.50	0.00	-9.64	-0.86	233.74	0	345	0	25	0	80.00	42.17	19.00	28.20	33.02	0.032	0.423	1	6
19	37.948256	-5.761991	628.50	628.50	0.00	-9.97	1.60	218.55	0	356	95	70	0	80.00	20.79	28.20	20.79	35.01	0.041	0.656	24	5
20	37.950219	-5.762181	632.00	632.00	0.00	-9.69	4.35	103.53	0	346	124	102	0	80.00	12.41	20.79	12.41	27.30	0.051	0.875	24	5
21	37.951122	-5.762472	636.50	636.50	0.00	-8.47	-1.70	176.65	0	328	0	37	0	80.00	49.38	12.41	30.19	27.17	0.058	0.979	1	11
22	37.952469	-5.763544	633.50	633.50	0.00	-7.98	-3.23	193.39	0	323	-217	0	-217	43.19	43.19	30.19	43.19	18.48	0.066	1.155	105	8
23	37.953858	-5.764873	627.25	627.25	0.00	-7.67	-0.97	51.81	0	320	0	0	0	80.00	37.35	43.19	42.66	4.39	0.071	1.349	20	1
24	37.954216	-5.765252	626.75	626.75	0.00	-6.82	1.95	179.63	0	313	99	5	0	80.00	15.00	42.66	23.09	20.16	0.072	1.400	2	12
25	37.955319	-5.766750	630.25	630.25	0.00	-7.77	1.57	48.03	0	321	95	45	0	80.00	17.55	23.09	19.39	8.41	0.078	1.580	2	3
26	37.955655	-5.767095	632.25	631.00	-1.25	-8.85	1.57	47.67	0	332	95	98	0	80.00	19.06	19.39	19.39	8.85	0.080	1.628	4	0
27	37.956035	-5.767348	632.75	631.75	-1.00	-9.54	-1.05	47.26	0	342	0	60	0	80.00	45.58	19.39	24.16	7.75	0.083	1.676	1	3
28	37.956441	-5.767510	631.25	631.25	0.00	-9.79	0.25	199.61	0	348	45	50	0	80.00	25.00	24.16	25.00	28.91	0.085	1.723	14	1
29	37.958201	-5.767977	631.75	631.75	0.00	-9.99	-0.82	60.76	0	358	0	30	0	80.00	42.61	25.00	27.21	8.17	0.093	1.923	1	2
30	37.958748	-5.768003	631.25	631.25	0.00	-9.96	2.63	351.25	0	5	106	94	0	80.00	16.70	27.21	16.70	70.74	0.095	1.983	24	6
31	37.961900	-5.767664	640.50	640.50	0.00	-9.67	2.53	197.68	0	15	105	105	0	80.00	16.57	16.70	16.57	42.94	0.115	2.335	24	1
32	37.963621	-5.767087	645.50	645.50	0.00	-9.85	2.10	143.22	0	10	100	107	0	80.00	18.41	16.57	18.41	28.35	0.127	2.532	14	2
33	37.964892	-5.766808	648.50	648.50	0.00	-9.98	1.01	99.44	0	4	89	111	0	80.00	24.29	18.41	23.13	16.86	0.134	2.676	1	4
34	37.965786	-5.766735	649.50	649.50	0.00	-9.97	-0.66	152.34	0	355	0	25	0	80.00	31.94	23.13	27.28	20.74	0.139	2.775	1	3
35	37.967154	-5.766874	648.50	648.50	0.00	-9.89	-3.13	143.87	0	9	0	0	0	80.00	65.08	27.28	40.24	15.29	0.145	2.927	10	8
36	37.968435	-5.766629	644.00	644.00	0.00	-9.77	0.66	37.96	0	12	74	0	0	80.00	25.00	40.24	38.56	3.47	0.149	3.071	20	1
37	37.968769	-5.766536	644.25	644.25	0.00	-9.32	0.00	52.89	0	21	34	0	0	80.00	25.00	38.56	37.26	5.05	0.150	3.109	20	1
38	37.969213	-5.766317	644.25	644.25	0.00	-8.51	1.24	161.55	0	32	91	0	0	80.00	20.26	37.26	24.63	18.87	0.152	3.162	20	8
39	37.970451	-5.765349	646.25	646.25	0.00	-8.96	-6.89	61.87	0	26	-615	0	0	39.49	39.49	24.63	39.41	6.94	0.157	3.324	10	9
40	37.970949	-5.765036	642.00	642.00	0.00	-9.74	-2.82	478.31	0	13	-216	0	-216	43.58	43.58	39.41	43.58	39.79	0.159	3.385	105	3
41	37.975145	-5.763804	628.50	628.50	0.00	-10.00	-4.30	75.69	0	2	-380	0	-452	42.15	42.15	43.58	42.15	6.46	0.170	3.864	35	1
42	37.975826	-5.763780	625.25	625.25	0.00	-9.99	-8.87	348.02	0	358	-785	0	-829	37.32	37.32	42.15	37.32	33.52	0.172	3.939	35	2
43	37.978947	-5.763925	594.50	594.50	0.00	-9.95	-7.99	56.51	0	6	-718	0	-718	38.30	38.30	37.32	38.30	5.32	0.181	4.287	105	1
44	37.979452	-5.763862	590.00	590.00	0.00	-8.72	-5.20	38.51	91	29	-450	0	-450	41.24	41.24	38.30	41.24	3.43	0.182	4.344	105	2
45	37.979754	-5.763647	588.00	588.00	0.00	-5.85	-4.37	38.34	96	54	-265	0	-265	42.08	42.08	41.24	42.08	3.29	0.183	4.382	105	1
46	37.979956	-5.763293	587.75	586.33	-1.42	-3.24	-7.96	24.74	86	71	-521	0	-1012	38.32	38.32	42.08	38.32	2.30	0.184	4.421	35	2
